Direction,Left_X,Left_Y,Right_X,Right_Y
CENTER,0.48147639062549197,0.4411255411255421,0.5897287788601999,0.4457971394486051
UP,0.4786728403480538,0.44472291031582084,0.5842374466138228,0.43751762413002304
UP,0.47759672006405396,0.44299276788379965,0.5798769169348232,0.43390351968935226
UP,0.47414044649360276,0.44259320463376056,0.5745696238280457,0.43099717581946934
UP,0.47379020306895797,0.4401488615944403,0.5716329034916219,0.4282588596327288
UP,0.47217809222754326,0.4357323660042147,0.5699139878817062,0.42261353968218757
UP,0.4657867566913778,0.4353252593243271,0.5684194937063977,0.41807905424899944
UP,0.4649502044855219,0.43414245102201043,0.5668595562194553,0.4178876296236214
UP,0.46416013442601617,0.4308740276640991,0.5652610937221618,0.4150040344006473
UP,0.4656581476874364,0.42889576543785723,0.5623397913896071,0.4130053905050585
UP,0.46519208145141405,0.42770368136242326,0.5620229313707559,0.41324105593664756
UP,0.46429062285603007,0.4271238769088615,0.5610733938518101,0.4134570912971397
UP,0.4642971583859442,0.4270267635497669,0.5583397196442177,0.4130521607157121
UP,0.46469110126169966,0.4264593493018306,0.5599861009919852,0.4124892687302867
UP,0.46460624017469226,0.4247708021952418,0.5603293995882497,0.4115315570211811
UP,0.4645827477718439,0.4265169467752611,0.5589577610663304,0.4157881679946316
UP,0.46299781633148224,0.42382248759771407,0.5600950252671595,0.4134379807973211
UP,0.4626352893999489,0.4248322667944643,0.5603572089078939,0.414858159919053
UP,0.46448587411655007,0.4261896814994772,0.5613868512982475,0.4158993788699494
UP,0.46294552676697087,0.42699836744653447,0.5591344026315428,0.4168084344577978
UP,0.4648520601332509,0.4262443396425738,0.5591692828308213,0.41547777314145334
UP,0.46515172620766565,0.4239006004705442,0.5603726129169554,0.41492909165233594
UP,0.46443116129079703,0.42409202950407066,0.5603619930815561,0.4156541846970294
UP,0.4630400355907042,0.4241164518092755,0.5594175138360098,0.41336421719821087
UP,0.46384531242492183,0.42692431011765036,0.5592281620489645,0.41789971894049266
UP,0.4632049015303438,0.42655694033484576,0.5597038217915326,0.41730549379983545
UP,0.46386631192488126,0.4278125088332555,0.5600120319485207,0.417135795082551
UP,0.4637645226438156,0.4271888027536049,0.5592112537350183,0.41431420546529274
UP,0.4646631057120865,0.42626134560026874,0.5591215501582006,0.4138780304728863
UP,0.4666531256028236,0.42619485001702767,0.5593528977921054,0.4138927204932606
UP,0.46486616888933335,0.42874453528177225,0.5615639962914678,0.41897059644981427
UP,0.4685435636379337,0.42898985621325825,0.5615079039177012,0.4185648280576533
UP,0.4701587314235171,0.43115295451892127,0.5629966438345376,0.41982093073128884
UP,0.47027014411177415,0.42850970626181406,0.5617596672249666,0.4160542604708364
UP,0.47051889410207126,0.42850982720370145,0.5662723060680567,0.4182188223049108
UP,0.46936557905093673,0.4277599079399379,0.5646593640380284,0.4152826125435129
UP,0.4680625118801426,0.4272907688067693,0.5620274800086874,0.41350368564915596
UP,0.46801105667979165,0.4282276724846851,0.5617211771103191,0.41414631252688117
UP,0.4680487817430428,0.4287785961882106,0.5626020605897601,0.41508982567603564
UP,0.46813127346426486,0.4253527206797553,0.5633025023188549,0.41389642008780547
UP,0.4677243282938108,0.42696530827321216,0.5631265665939422,0.4148168782154451
UP,0.4673018338756605,0.42655501082191816,0.562522270038508,0.41546437790144175
UP,0.4671078872693706,0.422994091125752,0.5649276524920959,0.41418756542379787
UP,0.4661579615369288,0.42264079029803103,0.5605764225606685,0.4138536905906131
UP,0.46592426805791004,0.42056237946838987,0.5618391144394416,0.4118568468029812
UP,0.46626403877427214,0.42115540993584843,0.5607000622295099,0.411439648412923
UP,0.46702049093116677,0.42208380992735844,0.5607407089752684,0.4109449428414046
UP,0.4691116919840487,0.4227179771426808,0.560817644962352,0.41149118364716175
